name	brand	categories	sentimental_analysis	Categorie_DEF	rating	prices.amountMin	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		137.23	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		173.51	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		129.99	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		139.99	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		137.99	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		164.99	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		164.5	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		179.95	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		129.99	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		122.99	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		124.99	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		124.99	
Men's Kobe X Basketball Shoe	Nike	Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry	Positive	Basketball, Athletic, Team Sports		124.99	
Nike Lebron Xiii Men  Round Toe Leather  Basketball Shoe	Nike	All Men's Shoes,Shoes,Men's Shoes,Clothing,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball	Positive	Basketball, Athletic, Team Sports		159.99	
Mountain Hardwear Men's Monkey Man Grid Ii Jacket	Mountain Hardwear	Active,Men,Fan Shop,Clothing, Shoes & Jewelry,Active Sweatshirts,Jackets,Sports,Sports & Outdoors,Clothing	Positive	Sports & Outdoors, Outdoor		120.0	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.63	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		103.81	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		99.36	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		100.4	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		102.26	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		99.88	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.09	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.88	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.46	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		100.01	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		168.0	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		101.03	
Boss By Hugo Boss Men's B0704ps Polarized Rectangular Sunglasses	BOSS HUGO BOSS	Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing	Positive	Contemporary & Designer		99.98	
