name,brand,categories,Categorie_DEF,medium.price,colors,Colour1,material,reviews
Drew Aaron Men Us 7.5 W Blue Walking Shoe,Drew,"Clothing,Shoes,Men's Shoes,All Men's Shoes,Walking Shoes",Walking Shoes,153.95,White All Leather,Blue,Leather,4.4
Ray Ban Rx7017f Eyeglasses,Ray-Ban,"Accessories,Men,Prescription Eyewear Frames,Contemporary & Designer,Shoes,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories",Contemporary & Designer,111.0,,,,4.3
Ray Ban Rx7017f Eyeglasses,Ray-Ban,"Accessories,Men,Prescription Eyewear Frames,Contemporary & Designer,Shoes,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories",Contemporary & Designer,111.0,,,,4.3
Carrera 90/s Sunglasses,Carrera,"Sunglasses,Accessories,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing",Contemporary & Designer,149.0,"Matte Black,Matte Ruthenium,Light Gold,Semi Metallic Brown",,,4.090909090909091
Carrera 90/s Sunglasses,Carrera,"Sunglasses,Accessories,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing",Contemporary & Designer,149.0,"Matte Black,Matte Ruthenium,Light Gold,Semi Metallic Brown",,,4.090909090909091
Carrera 90/s Sunglasses,Carrera,"Sunglasses,Accessories,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing",Contemporary & Designer,137.68,"Matte Black,Matte Ruthenium,Light Gold,Semi Metallic Brown",,,4.090909090909091
Carrera 90/s Sunglasses,Carrera,"Sunglasses,Accessories,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing",Contemporary & Designer,137.67,"Matte Black,Matte Ruthenium,Light Gold,Semi Metallic Brown",,,4.090909090909091
Drew Force V Men N Round Toe Leather  Athletic Sneakers,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",Walking Shoes,130.0,White Leather,Black,Leather,4.0
Drew Force V Men N Round Toe Leather  Athletic Sneakers,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",Walking Shoes,149.99,White Leather,Black,Leather,4.0
Drew Force V Men N Round Toe Leather  Athletic Sneakers,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",Walking Shoes,153.95,White Leather,Black,Leather,4.0
Ecco Street Evo One Golf Shoes Mic0622 2014,ECCO,"Clothing,Shoes,Men's Shoes,All Men's Shoes,Sneakers & Athletic Shoes","Sneakers & Athletic Shoes, Athletic",151.99,MarineSilver Grey,Off-White,,4.0
Drew Force V Men N Round Toe Leather  Athletic Sneakers,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",Walking Shoes,147.99,White Leather,Black,Leather,4.0
Ecco Street Evo One Golf Shoes Mic0622 2014,ECCO,"Clothing,Shoes,Men's Shoes,All Men's Shoes,Sneakers & Athletic Shoes","Sneakers & Athletic Shoes, Athletic",159.95,MarineSilver Grey,Off-White,,4.0
Ecco Street Evo One Golf Shoes Mic0622 2014,ECCO,"Clothing,Shoes,Men's Shoes,All Men's Shoes,Sneakers & Athletic Shoes","Sneakers & Athletic Shoes, Athletic",153.99,MarineSilver Grey,Off-White,,4.0
Johnston & Murphy Men's Larsey Moc Toe Oxford Shoe,Johnston & Murphy,"Oxfords,Men,Shoes,Clothing, Shoes & Jewelry",Oxfords,134.95,Black Italian Calfskin,,,4.0
New Balance M990  2e Round Toe Suede  Running Shoe,New Balance,"Running Shoes,All Men's Shoes,Shoes,Men's Shoes,Clothing",Running Shoes,131.98,"Denim BlueGrey,Blue",Blue,Suede,3.6
New Balance M990  2e Round Toe Suede  Running Shoe,New Balance,"Running Shoes,All Men's Shoes,Shoes,Men's Shoes,Clothing",Running Shoes,154.95,"Denim BlueGrey,Blue",Blue,Suede,3.6
New Balance M990  2e Round Toe Suede  Running Shoe,New Balance,"Running Shoes,All Men's Shoes,Shoes,Men's Shoes,Clothing",Running Shoes,175.0,"Denim BlueGrey,Blue",Blue,Suede,3.6
New Balance Mw577 Men Us 10.5 4e White Walking Shoe,New Balance,"Clothing,Shoes,Men's Shoes,All Men's Shoes,Walking Shoes",Walking Shoes,154.34,Bone,White,Leather,3.6
Nike Air Python Premium,Nike,"Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry","Team Sports, Athletic, Basketball",152.5,Brown,,,3.5
New Balance Mx626 Men 2e Round Toe Synthetic Black Running Shoe,New Balance,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",Walking Shoes,145.0,Black,Black,Synthetic,3.4
Ray-ban Mens 0rb8314 127/8163 Polarized Tech Carbon Fiber Rectangle Sunglasses,Ray-Ban,"Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing",Contemporary & Designer,175.7,"Dark Carbon Green,Dark Carbon Brown",,,3.0
Ray-ban Mens 0rb8314 127/8163 Polarized Tech Carbon Fiber Rectangle Sunglasses,Ray-Ban,"Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing",Contemporary & Designer,128.81,"Dark Carbon Green,Dark Carbon Brown",,,3.0
Ray-ban Mens 0rb8314 127/8163 Polarized Tech Carbon Fiber Rectangle Sunglasses,Ray-Ban,"Accessories,Sunglasses,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing",Contemporary & Designer,161.75,"Dark Carbon Green,Dark Carbon Brown",,,3.0
Dr Zen Sport 2 Women's Therapeutic Diabetic Extra Depth Shoe Leather Lace,Dr. Zen,"Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Racquet Sports,Tennis","Tennis, Racquet Sports, Athletic",119.95,"White,Black",,,2.0
Fuerza Mens Winter Down Wellon Collection Durable Hooded Parka Jacket Coat - Black - Xl,Fuerza,"All Men's Clothing,Men's Clothing,Men's Outerwear,Clothing, Shoes & Jewelry,Clothing",Men's Outerwear,199.0,,,Down-filled,2.0
